alternative_vs_LSTM,horizon_h,variable,LSTM_pooled_RMSE,alternative_pooled_RMSE,delta_RMSE,CI95_low,bootstrap_median,CI95_high,median_daily_MSE_diff,wilcoxon_stat,p_raw,n_days,holm_p,direction,robust_both
TCN,6,Humidity,6.736432781783663,6.254707596771241,-0.48172518501242223,-1.1875443419277243,-0.48626338325669805,0.2429049132745966,-6.345692619000326,57.0,5.184265319257975e-07,38,1.4515942893922329e-05,better,no
TCN,24,Temperature,2.1272825207965136,2.180364280036385,0.05308175923987157,-0.14384395372108752,0.04907621813885177,0.25893484450983784,0.056290852520604284,333.0,0.5955153473114478,38,1.0,worse,no
TCN,24,Humidity,6.243108890566777,5.892267799704421,-0.3508410908623558,-0.8531204855119418,-0.3573840749083712,0.040874754732627507,-2.938008298806581,108.0,5.8272496971767396e-05,38,0.0011071774424635805,better,no
TCN,72,Temperature,2.2738619084431857,2.205221191268766,-0.06864071717441966,-0.3834927841331535,-0.07648046337934988,0.27165921486311306,-0.19567424267129407,299.0,0.3069165013221209,38,1.0,better,no
TCN,72,Humidity,6.708574536587253,6.422238862570205,-0.2863356740170486,-0.6548327674532783,-0.2653020434378184,0.053992318075668046,-1.778462036236042,137.0,0.0004415161020006053,38,0.007947289836010896,better,no
Transformer,1,Temperature,2.319341716007541,2.5822886187774796,0.2629469027699387,0.04206762378844199,0.2728801812482591,0.5020898315415008,1.2309869455766527,25.0,6.577465683221817e-09,38,2.0390143617987633e-07,worse,yes
Transformer,1,Humidity,5.05975765393708,4.948585139692377,-0.11117251424470265,-0.606843362854561,-0.13499431964784847,0.5125960319178535,-3.7176472193346095,231.0,0.04289785515720723,38,0.5147742618864868,better,no
Transformer,6,Temperature,2.788761643575436,2.766625863094649,-0.022135780480787126,-0.30600173658475704,-0.03494048261902938,0.2810181646585212,-0.34639517603846226,336.0,0.625737863665563,38,1.0,better,no
Transformer,6,Humidity,6.736432781783663,7.059682523749343,0.3232497419656797,-0.2886119476603874,0.31136204548563295,0.9273840011108797,1.822071294649259,245.0,0.06954077348927967,38,0.7649485083820764,worse,no
Transformer,24,Temperature,2.1272825207965136,2.4799397291371292,0.35265720834061565,0.18551272867238555,0.3499541185660826,0.5067113699673822,1.540237628405171,72.0,2.5403714971616864e-06,38,6.859003042336553e-05,worse,yes
Transformer,24,Humidity,6.243108890566777,6.044439603203728,-0.19866928736304867,-0.5943321643283193,-0.20019834635812028,0.1604429261733024,-2.4943032040802025,166.0,0.002404527782346122,38,0.03847244451753795,better,no
Transformer,72,Temperature,2.2738619084431857,2.6752675058443542,0.40140559740116855,0.07351417649538323,0.3886885615287281,0.9113641311131541,1.8984809552747226,104.0,4.273308877600357e-05,38,0.000897394864296075,worse,yes
Transformer,72,Humidity,6.708574536587253,6.320670150351512,-0.38790438623574097,-0.8991662168664092,-0.4237470218942243,0.26155209470808877,-4.21658535243243,98.0,2.641164610395208e-05,38,0.0006074678603908978,better,no
Fixed physics LSTM,1,Temperature,2.319341716007541,2.4211106474219504,0.10176893141440946,-0.004237825875978962,0.09464306171230974,0.22608144496136545,0.48544120938215185,105.0,4.6214314352255315e-05,38,0.0009242862870451063,worse,no
Fixed physics LSTM,1,Humidity,5.05975765393708,4.956803316341947,-0.10295433759513273,-0.38170955608229273,-0.1006030903787769,0.11050857094913305,-1.4424438547155987,163.0,0.002044867622316815,38,0.034762749579385854,better,no
Fixed physics LSTM,6,Temperature,2.788761643575436,3.475751220155588,0.6869895765801517,0.45371347738468604,0.6910073674903865,0.9254848683655948,5.063785893477701,25.0,6.577465683221817e-09,38,2.0390143617987633e-07,worse,yes
Fixed physics LSTM,6,Humidity,6.736432781783663,6.972301556907474,0.23586877512381044,-0.04654020394577176,0.22743386579070446,0.5680991179485876,3.2135891343533416,83.0,7.232527423184365e-06,38,0.00018081318557960913,worse,no
Fixed physics LSTM,24,Temperature,2.1272825207965136,2.2963358355409134,0.16905331474439977,-0.0017742147583626575,0.15862475368080986,0.39026187241525756,0.8306557355179484,89.0,1.2347984011285007e-05,38,0.00029635161627084017,worse,no
Fixed physics LSTM,24,Humidity,6.243108890566777,6.1116299914497025,-0.13147889911707455,-0.35232157800579345,-0.11790029628006504,0.019885102282709163,-0.8896874465553513,198.0,0.011439342793892138,38,0.17159014190838207,better,no
Fixed physics LSTM,72,Temperature,2.2738619084431857,2.270182169794395,-0.0036797386487905648,-0.06996388922485478,-0.009753577533107682,0.08643894141328735,0.08546584263878176,361.0,0.8973613591879257,38,1.0,better,no
Fixed physics LSTM,72,Humidity,6.708574536587253,6.690248389921906,-0.018326146665347487,-0.14730913934570922,-0.013937088902308492,0.09129969753424329,-0.27860537599655544,327.0,0.5371132758664316,38,1.0,better,no
